en,mr,tags,
attitude,,
ball,,
bed,,furniture
bedroom,,furniture
check,,
complex,,science
computer,,technology
confirm,,
credible,,
efficiency,,science
efficient,,science
efforts,,science
en,mr,tags
energy,,science
episode,,
exchange,,
experience,,
feedback,,
feeling,,
impossible,,
input,,science
interest,,
keyboard,,technology
kind,,
latest,,
living room,,furniture
main,,
mat,,
natural,,
negative,,science
output,,science
personal,,
positive,,science
pressure,,science
prominent,,
quality,,
quantity,,
repeat,,
reply,,
sequence,,
strength,,
symptom,,science
table,,furniture
